location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Research Optical Flare\n(Medic ability),研究眩光弹\n(医疗兵技能),,False,,,
,Heal,治疗,,False,,,
,Restoration:\n   Research at Academy,恢复：\n   在学院研究,,False,,,
,Optical Flare:\n   Research at Academy,眩光弹：\n   在学院研究,,False,,,
,Lurker Aspect,潜伏者形态,,False,,,
,Evolve Lurker Aspect\n(Hydralisk ability),进化潜伏者形态\n(刺蛇技能),,False,,,
,Lurker Aspect:\n   Requires Lair,潜伏者形：\n   需要虫穴,,False,,,
,Disruption Web,干扰网,,False,,,
,Dark Archon Meld,黑暗执政官融合,,False,,,
,Feedback,能量反蚀,,False,,,
,Maelstrom,灵能漩涡,,False,,,
,Develop Disruption Web\n(Corsair ability),开发干扰网\n(海盗船技能),,False,,,
,Develop Mind Control\n(Dark Archon ability),开发精神控制\n(黑暗执政官技能),,False,,,
,Develop Feedback\n(Dark Archon ability),开发能量反蚀\n(黑暗执政官技能),,False,,,
,Disruption Web:\n   Develop at Fleet Beacon,干扰网：\n   在舰队航标开发,,False,,,
,Mind Control:\n   Research at Templar Archives,精神控制：\n   在圣堂武士文献馆研究,,False,,,
,Dark Archon Meld:\n   Research at Templar Archives,黑暗执政官融合：\n   在圣堂武士文献馆研究,,False,,,
,Dark Archon Warp:\n   Select 2 or more Dark Templars,黑暗执政官折跃：\n   选择两名或以上黑暗圣堂武士,,False,,,
,Maelstrom:\n   Develop at Templar Archives,灵能漩涡：\n   在圣堂武士文献馆开发,,False,,,
,Caduceus Reactor,卡度休斯反应堆,,False,,,
,Charon Booster,卡戎助推器,,False,,,
,Research Caduceus Reactor\n(+50 Medic energy),研究卡度休斯反应堆\n(+50医疗兵能量),,False,,,
,Research Charon Boosters\n(Increased Goliath Missile Range),研究卡戎助推器\n(增加歌利亚的导弹射程),,False,,,
,Evolve Anabolic Synthesis\n(Faster Ultralisk Movement),进化合成代谢\n(提高雷兽的移动速度),,False,,,
,Evolve Chitinous Plating\n(Improved Ultralisk Armor),进化骨板\n(强化雷兽护甲),,False,,,
,Develop Argus Jewel\n(+50 Corsair energy),开发阿古斯宝石\n(+50海盗船能量),,False,,,
,Develop Argus Talisman\n(+50 Dark Archon energy),开发阿古斯护符\n(+50黑暗执政官能量),,False,,,
,Research Charon Booster:\n   Requires Armory,研究卡戎助推器：\n   需要军械库,,False,,,
,Devourer Aspect,吞噬者形态,,False,,,
,Morph to Lurker,变异为潜伏者,,False,,,
,Valkyrie Requires:\n   Attached Control Tower\n   Armory,瓦格雷战机需要：\n   搭建了控制塔\n   军械库,,False,,,
,Dark Templar Requires:\n   Templar Archives,黑暗圣堂武士需要：\n   圣堂武士文献馆,,False,,,
,Devourer Aspect Requires:\n   Greater Spire,吞噬者形态需要：\n   巨型尖塔,,False,,,
,Lurker Aspect:\n   Evolve at Hydralisk Den,潜伏者形态：\n   在刺蛇巢进化,,False,,,
,Blind,致盲,,False,,,
,Acid Spores,强酸孢子,,False,,,
,1st Lieutenant,中尉,,False,,,
,Marshal,治安官,,False,,,
,Must target injured non-mechanical ground units,必须以受伤的非机械地面单位为目标。,,False,,,
,Must target enemy units,必须以敌方单位为目标。,,False,,,
,Must target non-mechanical units.,必须以非机械单位为目标。,,False,,,
,Must target units with energy.,必须以拥有能量的单位为目标。,,False,,,
,Medic,医疗兵,,False,,,
,Medic Heal,医疗兵治疗,,False,,,
,Cast Disruption Web,施放干扰网,,False,,,
,Cast Mind Control,施放精神控制,,False,,,
,Warping Dark Archon,正在折跃黑暗执政官,,False,,,
,Speed Up,加速 (U),,False,,,
,Random,随机,,False,Race,,
,Terran,人类,,False,Race,,
,Protoss,星灵,,False,Race,,
,Zerg,异虫,,False,Race,,
,Observer,观战者,,False,,,
,Observers,观战者,,False,,,
,Melee,对战,,False,Game type,,
,Free For All,混战,,False,Game type,,
,One on One,1v1,,False,Game type,,
,Capture The Flag,夺旗战,,False,Game type,,
,Greed,资源战,,False,Game type,,
,Slaughter,屠杀,,False,Game type,,
,Sudden Death,突然死亡,,False,Game type,,
,Team Melee,队伍对战,,False,Game type,,
,Team Free For All,队伍混战,,False,Game type,,
,Team Capture The Flag,队伍夺旗战,,False,Game type,,
,Top vs Bottom,上对下,,False,Game type,,
,Use Map Settings,使用地图设置,,False,Game type,,
,Badlands,荒原,,False,Map tileset,,
,Space,太空,,False,Map tileset,,
,Installation,基地,,False,Map tileset,,
,Ashworld,灰烬,,False,Map tileset,,
,Jungle,丛林,,False,Map tileset,,
,Desert,沙漠,,False,Map tileset,,
,Ice,冰原,,False,Map tileset,,
,Twilight,暮光,,False,Map tileset,,
,Login name,登录名,,False,,,
,Display name,显示名,,False,,,
